"Woningtype","Perioden","Regio's","Te koop staande woningen (aantal)"
"Meergezinswoning","2014 november","Overijssel (PV)",2000
"Meergezinswoning","2014 december","Overijssel (PV)",2000
"Meergezinswoning","2015 januari","Overijssel (PV)",1900
"Meergezinswoning","2015 februari","Overijssel (PV)",2000
"Meergezinswoning","2015 maart","Overijssel (PV)",1900
"Meergezinswoning","2015 april","Overijssel (PV)",2000
"Meergezinswoning","2015 mei","Overijssel (PV)",2000
"Meergezinswoning","2015 juni","Overijssel (PV)",2000
"Meergezinswoning","2015 juli","Overijssel (PV)",2000
"Meergezinswoning","2015 augustus","Overijssel (PV)",2000
"Meergezinswoning","2015 september","Overijssel (PV)",2000
"Meergezinswoning","2015 oktober","Overijssel (PV)",1900
"Meergezinswoning","2015 november","Overijssel (PV)",1800
"Meergezinswoning","2015 december","Overijssel (PV)",1800
"Meergezinswoning","2016 januari","Overijssel (PV)",1700
"Meergezinswoning","2016 februari","Overijssel (PV)",1700
"Meergezinswoning","2016 maart","Overijssel (PV)",1600
"Meergezinswoning","2016 april","Overijssel (PV)",1500
"Meergezinswoning","2016 mei","Overijssel (PV)",1400
"Meergezinswoning","2016 juni","Overijssel (PV)",1300
"Meergezinswoning","2016 juli","Overijssel (PV)",1200
"Meergezinswoning","2016 augustus","Overijssel (PV)",1100
"Meergezinswoning","2016 september","Overijssel (PV)",1300
"Meergezinswoning","2016 oktober","Overijssel (PV)",1100
"Meergezinswoning","2016 november","Overijssel (PV)",1200
"Meergezinswoning","2016 december","Overijssel (PV)",1100
